MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG,INTEGRATIONSZEIT,NOTES
0073,xxx,2024,01,31,13,35,15,30,0,12.938,60,Starte Pkt.9
0074,xxx,2024,01,31,13,37,29,35,0,13.408,60,
0075,xxx,2024,01,31,13,38,55,40,0,14.033,60,
0076,xxx,2024,01,31,13,40,35,45,0,12.439,60,
0077,xxx,2024,01,31,13,42,25,50,0,11.999,60,
0078,xxx,2024,01,31,13,44,17,55,0,10.007,60,
0079,xxx,2024,01,31,13,45,55,60,0,10.215,60,
0080,xxx,2024,01,31,13,47,39,65,0,9.414,60,
0081,xxx,2024,01,31,13,49,20,70,0,9.692,60,
0082,xxx,2024,01,31,13,50,54,75,0,11.667,60,
0083,xxx,2024,01,31,13,52,56,80,0,12.407,60,
0084,xxx,2024,01,31,13,54,50,85,0,10.754,60,
0085,xxx,2024,01,31,13,56,30,90,0,10.377,60,
