MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ)

0001,1234,2024,01,30,22,41,22,22,54
0002,1234,2024,01,30,22,41,22,22,54
0003,1234,2024,01,30,22,41,22,22,54
0004,1234,2024,01,30,22,41,22,22,54
0005,1234,2024,01,30,22,41,22,22,54
0006,halloartemis,2024,01,30,23,15,22,0,3.14
0007,salutartemis,2024,01,30,23,17,22,2,4.14
0008,salutartemis,2024,01,30,23,17,22,2,4.14
0009,salutartemis,2024,01,30,23,17,22,2,4.14
0010,salutartemis,2024,01,30,23,17,22,2,4.14
