MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG
0000,halloartemis,2024,01,31,08,15,0,1,3.14,1
0001,halloartemis,2024,01,31,08,15,0,2,3.14,2
0002,halloartemis,2024,01,31,08,15,0,3,3.14,3
0003,halloartemis,2024,01,31,08,15,0,4,3.14,4
0004,halloartemis,2024,01,31,08,15,0,5,3.14,5
0005,halloartemis,2024,01,31,08,15,0,6,3.14,6
0006,halloartemis,2024,01,31,08,15,0,7,3.14,7
0007,halloartemis,2024,01,31,08,15,0,8,3.14,8
0008,halloartemis,2024,01,31,08,15,0,9,3.14,9
0009,halloartemis,2024,01,31,08,15,0,10,3.14,10
0010,halloartemis,2024,01,31,08,15,0,1,4.14,1
0011,halloartemis,2024,01,31,08,15,0,2,4.14,2
0012,halloartemis,2024,01,31,08,15,0,3,4.14,3
0013,halloartemis,2024,01,31,08,15,0,4,4.14,4
0014,halloartemis,2024,01,31,08,15,0,5,4.14,5
0015,halloartemis,2024,01,31,08,15,0,6,4.14,6
0016,halloartemis,2024,01,31,08,15,0,7,4.14,7
0017,halloartemis,2024,01,31,08,15,0,8,4.14,8
0018,halloartemis,2024,01,31,08,15,0,9,4.14,9
0019,halloartemis,2024,01,31,08,15,0,10,4.14,10
0020,halloartemis,2024,01,31,08,15,0,1,5.14,1
0021,halloartemis,2024,01,31,08,15,0,2,5.14,2
0022,halloartemis,2024,01,31,08,15,0,3,5.14,3
0023,halloartemis,2024,01,31,08,15,0,4,5.14,4
0024,halloartemis,2024,01,31,08,15,0,5,5.14,5
0025,halloartemis,2024,01,31,08,15,0,6,5.14,6
0026,halloartemis,2024,01,31,08,15,0,7,5.14,7
0027,halloartemis,2024,01,31,08,15,0,8,5.14,8
0028,halloartemis,2024,01,31,08,15,0,9,5.14,9
0029,halloartemis,2024,01,31,08,15,0,10,5.14,10
